encodeur,fraction_labels,nombre_labels,seed,loss_train,accuracy_train,accuracy_evaluation,ensemble_evaluation,duree_probe_secondes
aleatoire,0.1,4500,42,1.1193216109805637,0.6204444444444445,0.3377,test,6.1087832999182865
aleatoire,0.1,4500,123,1.0965922474331327,0.6266666666666667,0.3292,test,4.893309599952772
aleatoire,0.1,4500,2026,1.0560188483132256,0.642,0.3306,test,4.444876100053079
simclr,0.1,4500,42,0.730599055978987,0.7466666666666667,0.5355,test,5.234258500044234
simclr,0.1,4500,123,0.7429130180146959,0.7413333333333333,0.5267,test,5.19839180004783
simclr,0.1,4500,2026,0.7482875526746114,0.7417777777777778,0.5366,test,5.1278791999211535
