encodeur,fraction_labels,nombre_labels,seed,loss_train,accuracy_train,accuracy_evaluation,ensemble_evaluation,duree_probe_secondes
aleatoire,1.0,45000,42,1.5240279346677992,0.4636,0.4229,test,29.230077299987897
aleatoire,1.0,45000,123,1.5238520413928562,0.4636222222222222,0.423,test,28.636171199963428
aleatoire,1.0,45000,2026,1.5240622708002727,0.46313333333333334,0.4232,test,28.132768100011162
simclr,1.0,45000,42,0.4023044398519728,0.8572,0.8155,test,28.703390899987426
simclr,1.0,45000,123,0.4022753759384155,0.8573777777777778,0.8159,test,28.078659899998456
simclr,1.0,45000,2026,0.4022788553396861,0.8577555555555556,0.8154,test,28.1212702000048
