encodeur,fraction_labels,nombre_labels,seed,loss_train,accuracy_train,accuracy_evaluation,ensemble_evaluation,duree_probe_secondes
aleatoire,1.0,45000,42,1.5240279346677992,0.4636,0.4229,test,27.257830600021407
aleatoire,1.0,45000,123,1.5238520413928562,0.4636222222222222,0.423,test,28.255624099983834
aleatoire,1.0,45000,2026,1.5240622708002727,0.46313333333333334,0.4232,test,26.09180260001449
simclr,1.0,45000,42,0.4103699166138967,0.8543111111111111,0.819,test,25.969270500005223
simclr,1.0,45000,123,0.4104397234916687,0.8538444444444444,0.8189,test,26.161084300023504
simclr,1.0,45000,2026,0.41037917798890006,0.8542444444444445,0.8182,test,25.7439458000008
