encodeur,fraction_labels,nombre_labels,seed,loss_train,accuracy_train,accuracy_evaluation,ensemble_evaluation,duree_probe_secondes
aleatoire,1.0,45000,42,1.5240279346677992,0.4636,0.4229,test,38.330674500000896
aleatoire,1.0,45000,123,1.5238520413928562,0.4636222222222222,0.423,test,37.966933599993354
aleatoire,1.0,45000,2026,1.5240622708002727,0.46313333333333334,0.4232,test,36.037395099992864
simclr,1.0,45000,42,1.017977342944675,0.6356888888888889,0.5926,test,28.51291239997954
simclr,1.0,45000,123,1.0180253633923,0.6353555555555556,0.5927,test,28.27534709998872
simclr,1.0,45000,2026,1.0179418766445585,0.6350666666666667,0.5945,test,28.139067300013267
