encodeur,fraction_labels,nombre_labels,seed,loss_train,accuracy_train,accuracy_evaluation,ensemble_evaluation,duree_probe_secondes
aleatoire,1.0,45000,42,1.5240279346677992,0.4636,0.4229,test,27.177202399994712
aleatoire,1.0,45000,123,1.5238520413928562,0.4636222222222222,0.423,test,26.90212409995729
aleatoire,1.0,45000,2026,1.5240622708002727,0.46313333333333334,0.4232,test,27.80206570000155
simclr,1.0,45000,42,0.6447362553278605,0.7692666666666667,0.7278,test,27.826533299987204
simclr,1.0,45000,123,0.6446848462634617,0.7695111111111111,0.7283,test,27.138783500005957
simclr,1.0,45000,2026,0.6446532552719116,0.7692888888888889,0.7275,test,26.675302000017837
