encodeur,fraction_labels,nombre_labels,seed,loss_train,accuracy_train,accuracy_evaluation,ensemble_evaluation,duree_probe_secondes
aleatoire,1.0,45000,42,1.5240279346677992,0.4636,0.4229,test,42.57245479998528
aleatoire,1.0,45000,123,1.5238520413928562,0.4636222222222222,0.423,test,41.19819090000237
aleatoire,1.0,45000,2026,1.5240622708002727,0.46313333333333334,0.4232,test,40.733855099999346
simclr,1.0,45000,42,1.0102911040623983,0.6394888888888889,0.6004,test,41.00877370001399
simclr,1.0,45000,123,1.0103435619354248,0.6398888888888888,0.5992,test,43.14804180001374
simclr,1.0,45000,2026,1.010308728981018,0.6396222222222222,0.6001,test,43.737916100013535
