epoch,loss,top1_positif,learning_rate,duree_secondes,vram_pic_mo
1.0,5.302046475043664,0.09661458333333334,2.9999999999999997e-05,41.497498799988534,1375.83740234375
2.0,5.007706664158747,0.21665665064102563,5.699999999999999e-05,29.95626639999682,1374.83740234375
3.0,4.919419430463742,0.30461738782051284,8.4e-05,29.97034190001432,1374.83740234375
4.0,4.871822124872452,0.37278645833333335,0.00011099999999999999,29.934543899988057,1374.83740234375
5.0,4.835094882280399,0.43336338141025643,0.000138,29.908520700002555,1374.83740234375
6.0,4.8039423306783045,0.4793770032051282,0.000165,29.683050899999216,1374.83740234375
7.0,4.774085981417925,0.5220953525641026,0.00019199999999999998,31.57698869999149,1374.83740234375
8.0,4.747669552534054,0.5645833333333333,0.00021899999999999998,31.527428299974417,1374.83740234375
9.0,4.726548375838842,0.596844951923077,0.000246,31.852971199987223,1374.83740234375
10.0,4.707116801922138,0.6281550480769231,0.000273,31.521727200015448,1374.83740234375
11.0,4.693479716472137,0.6493489583333333,0.0003,31.55091920000268,1374.83740234375
12.0,4.67595682144165,0.6785256410256411,0.0002999089286393548,30.840588899998693,1374.83740234375
13.0,4.661583885779748,0.6989883814102564,0.00029963582551384367,31.228061299974797,1374.83740234375
14.0,4.648242383125501,0.7106470352564103,0.0002991810233575568,31.69595229998231,1374.83740234375
15.0,4.637491052578657,0.7266927083333333,0.0002985450762768647,31.80807589998585,1374.83740234375
16.0,4.631424380571414,0.735556891025641,0.00029772875907532504,31.68549990002066,1374.83740234375
17.0,4.621637285672701,0.7460436698717948,0.00029673306630970386,31.696465300017735,1374.83740234375
18.0,4.6140831091465095,0.7565204326923077,0.00029555921107826135,31.597198300005402,1374.83740234375
19.0,4.6088074781955815,0.7660857371794871,0.00029420862354277857,31.46239760000026,1374.83740234375
20.0,4.600723873040615,0.7760116185897435,0.00029268294918612537,31.272878499992657,1374.83740234375
21.0,4.595549617669521,0.7831730769230769,0.0002909840468074932,31.408385399990948,1374.83740234375
22.0,4.5924624858758385,0.7859975961538461,0.00028911398625773463,31.32558770000469,1374.83740234375
23.0,4.585788584978152,0.7947716346153846,0.0002870750459175687,31.181258500000695,1374.83740234375
24.0,4.58362319408319,0.7969050480769231,0.00028486970992172534,31.29166410001926,1374.83740234375
25.0,4.579157305986453,0.8028745993589743,0.00028250066513240947,31.196307400008664,1374.83740234375
26.0,4.574240148984469,0.807011217948718,0.0002799707978657735,31.371453600004315,1374.83740234375
27.0,4.5700424805665625,0.8147736378205128,0.00027728319037538556,31.43614459998207,1374.83740234375
28.0,4.566452380938408,0.8176782852564103,0.0002744411170969786,31.398605299997143,1374.83740234375
29.0,4.561473736396203,0.8246794871794871,0.0002714480406590545,31.424383999983547,1374.83740234375
30.0,4.558403108058831,0.826943108974359,0.00026830760766420483,31.311740099976305,1374.83740234375
31.0,4.556491560813708,0.8303585737179487,0.0002650236442462871,31.26189880000311,1374.83740234375
32.0,4.5541618298261595,0.8325220352564102,0.0002616001514088703,31.201802499999758,1374.83740234375
33.0,4.550370216369629,0.8391025641025641,0.00025804130015062823,31.309266500000376,1374.83740234375
