encodeur,fraction_labels,nombre_labels,seed,loss_train,accuracy_train,accuracy_evaluation,ensemble_evaluation,duree_probe_secondes
aleatoire,0.1,4500,42,1.1193216109805637,0.6204444444444445,0.3377,test,5.679701799992472
aleatoire,0.1,4500,123,1.0965922474331327,0.6266666666666667,0.3292,test,5.297981100040488
aleatoire,0.1,4500,2026,1.0560188483132256,0.642,0.3306,test,5.140196799999103
simclr,0.1,4500,42,0.46304714330037433,0.8471111111111111,0.6787,test,4.112579500069842
simclr,0.1,4500,123,0.47977999244795905,0.8382222222222222,0.68,test,3.9526038999902084
simclr,0.1,4500,2026,0.4756890399720934,0.8402222222222222,0.686,test,4.010295799933374
