methode,fraction_labels,nombre_labels,seed,loss_train,accuracy_train,accuracy_evaluation,ensemble_evaluation,duree_secondes
finetuning_simclr,0.01,450,42,0.008993549338645405,1.0,0.7294,test,63.79522800000268
finetuning_simclr,0.1,4500,42,0.004080941140237782,1.0,0.8231,test,204.57518000001437
finetuning_simclr,1.0,45000,42,0.0017715291156950924,1.0,0.935,test,1763.054035100009
finetuning_simclr,0.01,450,123,0.010463537089526654,1.0,0.7123,test,50.20367020001868
finetuning_simclr,0.1,4500,123,0.0036726897598968614,1.0,0.8298,test,181.0694279000163
finetuning_simclr,1.0,45000,123,0.0017192923117015097,1.0,0.9352,test,1438.4016685999813
finetuning_simclr,0.01,450,2026,0.013272823389205667,1.0,0.7213,test,75.92139689999749
finetuning_simclr,0.1,4500,2026,0.004182734138021866,1.0,0.8284,test,173.52488230000017
finetuning_simclr,1.0,45000,2026,0.0016804358245390985,1.0,0.9367,test,1512.3094306999992
