encodeur,fraction_labels,nombre_labels,seed,loss_train,accuracy_train,accuracy_evaluation,ensemble_evaluation,duree_probe_secondes
aleatoire,0.1,4500,42,1.1193216109805637,0.6204444444444445,0.3377,test,5.135334499995224
aleatoire,0.1,4500,123,1.0965922474331327,0.6266666666666667,0.3292,test,4.805070600006729
aleatoire,0.1,4500,2026,1.0560188483132256,0.642,0.3306,test,4.6836403999477625
simclr,0.1,4500,42,0.26366255868805777,0.9171111111111111,0.7885,test,4.338368099997751
simclr,0.1,4500,123,0.2780268728733063,0.9106666666666666,0.7871,test,4.587524899980053
simclr,0.1,4500,2026,0.27273757452434966,0.9113333333333333,0.7896,test,4.859133100020699
