encodeur,fraction_labels,nombre_labels,seed,loss_train,accuracy_train,accuracy_evaluation,ensemble_evaluation,duree_probe_secondes
aleatoire,0.1,4500,42,1.1193216109805637,0.6204444444444445,0.3377,test,5.999267200008035
aleatoire,0.1,4500,123,1.0965922474331327,0.6266666666666667,0.3292,test,5.629151699948125
aleatoire,0.1,4500,2026,1.0560188483132256,0.642,0.3306,test,5.576095900032669
simclr,0.1,4500,42,0.7371084685325623,0.7482222222222222,0.5222,test,5.119261899963021
simclr,0.1,4500,123,0.7672066049575805,0.7324444444444445,0.5296,test,5.39712709991727
simclr,0.1,4500,2026,0.7677760138511658,0.7375555555555555,0.5285,test,5.186080900020897
