encodeur,fraction_labels,nombre_labels,seed,loss_train,accuracy_train,accuracy_evaluation,ensemble_evaluation,duree_probe_secondes
aleatoire,0.1,4500,42,1.1193216109805637,0.6204444444444445,0.3377,test,4.762829400016926
aleatoire,0.1,4500,123,1.0965922474331327,0.6266666666666667,0.3292,test,4.103611099999398
aleatoire,0.1,4500,2026,1.0560188483132256,0.642,0.3306,test,3.98728400003165
simclr,0.1,4500,42,0.27259950092103746,0.9142222222222223,0.786,test,3.9909783999901265
simclr,0.1,4500,123,0.2919128785663181,0.9026666666666666,0.7887,test,3.9001508998917416
simclr,0.1,4500,2026,0.276134157816569,0.9128888888888889,0.7903,test,3.992850700044073
