epoch,loss,top1_positif,learning_rate,duree_secondes,vram_pic_mo
1.0,4.940025997161865,0.44719551282051284,2.9999999999999997e-05,48.92818210000405,1375.83740234375
2.0,4.6526072159791605,0.6743389423076923,5.699999999999999e-05,38.384686899982626,1374.83740234375
3.0,4.589634562761356,0.7677984775641026,8.4e-05,38.51524999999674,1374.83740234375
4.0,4.558118609893016,0.8182191506410257,0.00011099999999999999,38.67992239998421,1374.83740234375
5.0,4.534963419498541,0.8519130608974359,0.000138,43.07294290000573,1374.83740234375
6.0,4.5197675631596494,0.8732972756410257,0.000165,48.334616800013464,1374.83740234375
7.0,4.507257261031714,0.885526842948718,0.00019199999999999998,52.169011000019964,1374.83740234375
8.0,4.495836693201309,0.8981570512820513,0.00021899999999999998,48.06379780001589,1374.83740234375
9.0,4.488397559141501,0.9071915064102564,0.000246,61.15565420000348,1374.83740234375
10.0,4.483202146872496,0.9103064903846154,0.000273,66.84603420001804,1374.83740234375
11.0,4.476449381999481,0.9174479166666667,0.0003,51.47844459998305,1374.83740234375
12.0,4.468368586515769,0.9241386217948718,0.0002999089286393548,51.02606879998348,1374.83740234375
13.0,4.4639366369981035,0.9279246794871795,0.00029963582551384367,49.20868359997985,1374.83740234375
14.0,4.458488175807855,0.9339142628205128,0.0002991810233575568,40.88248499998008,1374.83740234375
15.0,4.452122160104605,0.9362780448717949,0.0002985450762768647,41.81467690001591,1374.83740234375
16.0,4.450595459571251,0.9394030448717948,0.00029772875907532504,40.89532740000868,1374.83740234375
17.0,4.445249048868815,0.9419170673076923,0.00029673306630970386,40.66427469998598,1374.83740234375
18.0,4.444205460181603,0.9440604967948718,0.00029555921107826135,41.10185000000638,1374.83740234375
19.0,4.440360785753299,0.9476262019230769,0.00029420862354277857,43.669741499994416,1374.83740234375
20.0,4.436115563221467,0.9492688301282052,0.00029268294918612537,48.313551500003086,1374.83740234375
21.0,4.43607670710637,0.9491586538461538,0.0002909840468074932,635.8822728999949,1374.83740234375
22.0,4.4346203070420485,0.9486077724358974,0.00028911398625773463,44.66621240001405,1374.83740234375
23.0,4.431816230676113,0.9522335737179487,0.0002870750459175687,44.88553359999787,1374.83740234375
24.0,4.42783132210756,0.9563100961538461,0.00028486970992172534,40.76945500000147,1374.83740234375
25.0,4.427044440538455,0.9554887820512821,0.00028250066513240947,642.4504497000016,1374.83740234375
26.0,4.424658599266639,0.9568108974358974,0.0002799707978657735,642.0885954999831,1374.83740234375
27.0,4.424860091087146,0.9569811698717948,0.00027728319037538556,798.6719247000001,1374.83740234375
28.0,4.421829155163887,0.9584034455128205,0.0002744411170969786,647.3918195999868,1374.83740234375
29.0,4.422703112088717,0.957421875,0.0002714480406590545,642.948656499997,1374.83740234375
30.0,4.420253834357628,0.9595152243589744,0.00026830760766420483,638.883152800001,1374.83740234375
31.0,4.417751194880559,0.9607872596153846,0.0002650236442462871,640.306024599995,1374.83740234375
32.0,4.417275216029241,0.9611177884615385,0.0002616001514088703,817.4497633000137,1374.83740234375
33.0,4.4145381242800985,0.9619691506410256,0.00025804130015062823,1066.6487994999916,1374.83740234375
34.0,4.415000697893974,0.9620592948717949,0.00025435142638361997,638.9545698000002,1374.83740234375
35.0,4.41321264169155,0.9615384615384616,0.00025053502565064917,645.1470824000135,1374.83740234375
36.0,4.412899278983092,0.9632411858974359,0.0002465967476481375,1902.3776084999845,1374.83740234375
37.0,4.411159955538237,0.9649939903846154,0.00024254139056118575,41480.472134700016,1374.83740234375
38.0,4.409916471823668,0.9647335737179488,0.0002383738952177246,30.029489399981685,1374.83740234375
39.0,4.4095214452499,0.9650540865384616,0.00023409933906887653,30.096436399995582,1374.83740234375
40.0,4.408800242497371,0.9657852564102564,0.00022972293000286402,30.01100180001231,1374.83740234375
41.0,4.405990488101274,0.9663561698717948,0.0002252499999999999,29.959024999989197,1374.83740234375
42.0,4.405851024236434,0.9660056089743589,0.00022068599863649056,29.819558600021992,1374.83740234375
43.0,4.405318059676733,0.9671975160256411,0.00021603648644496698,29.581973299995298,1374.83740234375
44.0,4.404331415127485,0.9673878205128205,0.00021130712813983204,29.839373299997533,1374.83740234375
45.0,4.403323819087102,0.9690905448717949,0.00020650368571567874,29.72256500000367,1374.83740234375
46.0,4.402577588497064,0.9684495192307693,0.00020163201142718739,29.42870849999599,1374.83740234375
47.0,4.400343931638277,0.96875,0.00019669804065905455,29.815483099984704,1374.83740234375
48.0,4.400702923994798,0.9691506410256411,0.00019170778469464127,29.43607090000296,1374.83740234375
49.0,4.399217148316212,0.9708133012820512,0.00018666732339215025,29.611789699993096,1374.83740234375
50.0,4.3973899205525715,0.9712039262820513,0.00018158279777725494,29.575854099995922,1374.83740234375
51.0,4.396612465687287,0.9714042467948718,0.00017646040256120602,29.50830610000412,1374.83740234375
52.0,4.395465070773394,0.9712640224358975,0.0001713063785935297,29.556265200022608,1374.83740234375
53.0,4.396368491343963,0.9705629006410257,0.0001661270052585141,29.507433999999193,1374.83740234375
54.0,4.3933105860001005,0.9725861378205128,0.00016092859282474664,29.50697419999051,1374.83740234375
55.0,4.393912278688871,0.9724859775641026,0.00015571747475702383,29.479518799984362,1374.83740234375
56.0,4.393408403641138,0.9718649839743589,0.0001504999999999999,29.452413599996362,1374.83740234375
57.0,4.391902243785369,0.9732772435897435,0.00014528252524297603,29.514330400008475,1374.83740234375
58.0,4.391950311416235,0.973046875,0.00014007140717525317,29.54812409999431,1374.83740234375
59.0,4.390449523925781,0.9748798076923076,0.00013487299474148573,29.554227699991316,1374.83740234375
60.0,4.388911709418664,0.9744691506410257,0.00012969362140647012,29.42084489998524,1374.83740234375
61.0,4.388832094730475,0.9749198717948718,0.0001245395974387938,29.423387499991804,1374.83740234375
62.0,4.388233874394343,0.9747495993589743,0.00011941720222274491,29.458165400021244,1374.83740234375
63.0,4.386857206393511,0.976131810897436,0.00011433267660784957,29.434868200012716,1374.83740234375
64.0,4.386984930282984,0.9752604166666666,0.00010929221530535855,29.48156100002234,1374.83740234375
65.0,4.3860659256959575,0.9762920673076924,0.0001043019593409453,29.52012940001441,1374.83740234375
66.0,4.385697675362612,0.9765625,9.936798857281246e-05,29.421531200001482,1374.83740234375
67.0,4.384252567780323,0.9768329326923076,9.449631428432107e-05,29.577147199976025,1374.83740234375
68.0,4.384060622484256,0.9767928685897436,8.969287186016781e-05,30.489614599995548,1374.83740234375
69.0,4.3854679132119205,0.9751903044871795,8.496351355503284e-05,31.556694400002016,1374.83740234375
70.0,4.382738881233411,0.976993189102564,8.03140013635093e-05,31.554192000010516,1374.83740234375
71.0,4.381960470248491,0.9774338942307692,7.574999999999997e-05,36.16763300000457,1374.83740234375
72.0,4.3821334129724745,0.9774939903846154,7.127706999713583e-05,32.8368150999886,1374.83740234375
73.0,4.381890274928167,0.9773938301282051,6.690066093112332e-05,33.04410140000982,1374.83740234375
74.0,4.382262953733787,0.9768729967948718,6.262610478227523e-05,33.17062970000552,1374.83740234375
75.0,4.379095050616142,0.9780749198717948,5.845860943881404e-05,32.79810610000277,1374.83740234375
76.0,4.380207854050856,0.9777243589743589,5.440325235186232e-05,32.564837400015676,1374.83740234375
77.0,4.379001734806941,0.9782151442307693,5.0464974349350656e-05,32.63402630001656,1374.83740234375
78.0,4.378657759152926,0.9787660256410257,4.664857361637991e-05,32.61129709999659,1374.83740234375
79.0,4.378934987386068,0.978886217948718,4.2958699849371595e-05,32.54353350002202,1374.83740234375
80.0,4.377683111337515,0.9793068910256411,3.939984859112954e-05,32.62293340000906,1374.83740234375
81.0,4.376439762115479,0.9802283653846153,3.597635575371277e-05,32.643610300001455,1374.83740234375
82.0,4.376762710473476,0.9793870192307692,3.269239233579505e-05,32.77275049997843,1374.83740234375
83.0,4.377684365786039,0.9781650641025641,2.9551959340945353e-05,32.65766210001311,1374.83740234375
84.0,4.376074971908178,0.9795272435897436,2.655888290302126e-05,32.69475359999342,1374.83740234375
85.0,4.374911083319248,0.9803685897435898,2.3716809624614307e-05,32.676525899994886,1374.83740234375
86.0,4.376716860746726,0.9792167467948718,2.10292021342264e-05,32.71052279998548,1374.83740234375
87.0,4.3760551012479345,0.980078125,1.8499334867590437e-05,32.68597230000887,1374.83740234375
88.0,4.375032515403552,0.9806290064102564,1.6130290078274518e-05,32.63727080001263,1374.83740234375
89.0,4.374289307227501,0.98046875,1.3924954082431178e-05,32.65456650001579,1374.83740234375
90.0,4.375729093796168,0.9792067307692308,1.188601374226529e-05,32.54056120000314,1374.83740234375
91.0,4.3746069541344275,0.9793068910256411,1.0015953192506701e-05,32.64483589999145,1374.83740234375
92.0,4.373130578261155,0.9813201121794872,8.317050813874542e-06,32.59056809998583,1374.83740234375
93.0,4.373840833321596,0.9806290064102564,6.791376457221354e-06,32.605784199986374,1374.83740234375
94.0,4.374651896647918,0.979697516025641,5.440788921738523e-06,32.634545800014166,1374.83740234375
95.0,4.373444547408666,0.9797776442307692,4.266933690296046e-06,32.63240800000494,1374.83740234375
96.0,4.374205486591046,0.9807091346153847,3.271240924674899e-06,32.81162890000269,1374.83740234375
97.0,4.374196979327079,0.9802784455128205,2.4549237231352464e-06,32.70354529999895,1374.83740234375
98.0,4.374659736339862,0.9801582532051282,1.8189766424431425e-06,32.87519539997447,1374.83740234375
99.0,4.373973609239627,0.9809495192307692,1.3641744861562822e-06,32.725237699982245,1374.83740234375
100.0,4.373930718348577,0.980088141025641,1.0910713606451834e-06,32.65532030002214,1374.83740234375
